#{"t_start": 1774834045.8859305, "env_id": "None"}
r,l,t
5.5,66,30.927946
6.5,76,30.970406
4.3,54,30.999078
3.8,49,31.031834
4.4,55,31.063103
4.1,52,31.100805
4.4,55,31.130879
3.7,48,31.172431
4.5,56,31.205627
3.9,50,31.231416
5.3,64,31.265947
3.7,48,31.321834
4.8,59,31.371711
4.9,60,31.433492
3.8,49,31.47588
4.0,51,31.526954
5.2,63,31.606521
4.7,58,31.670571
3.9,50,31.697833
6.9,80,31.740885
3.9,50,31.771177
3.9,50,31.798491
3.4,45,31.821585
5.6,67,31.858322
3.7,48,31.88498
5.7,68,31.921512
3.9,50,31.946372
4.2,53,31.975526
4.2,53,32.005524
5.0,61,32.046283
4.8,59,32.082622
4.7,58,32.117803
4.2,53,32.159852
3.7,48,32.188554
3.4,45,32.210846
5.8,69,32.248215
4.0,51,32.279149
3.9,50,32.306017
4.0,51,32.343102
4.5,56,32.37359
3.4,45,32.399499
7.1,82,32.444491
5.0,61,32.478106
6.7,78,32.523142
5.3,64,32.561743
4.2,53,32.589705
4.1,52,32.61803
4.6,57,32.649128
5.8,69,32.690923
4.2,53,32.720723
5.7,68,32.756807
4.3,54,32.787019
3.6,47,32.814993
5.2,63,32.849897
3.6,47,32.873397
3.8,49,32.903664
4.2,53,32.974127
6.6,77,33.015778
4.4,55,33.05278
3.9,50,33.081296
5.9,70,33.125108
7.7,88,33.178154
3.6,47,33.203356
4.6,57,33.257397
4.7,58,33.301322
3.8,49,33.328467
4.1,52,33.360787
3.9,50,33.388759
3.7,48,33.416089
5.1,62,33.449835
4.5,56,33.479579
3.8,49,33.505855
4.0,51,33.534806
4.0,51,33.560843
7.0,81,33.605272
4.4,55,33.637362
4.1,52,33.671084
4.0,51,33.703253
5.4,65,33.739342
5.2,63,33.795145
4.1,52,33.84075
6.6,77,33.892986
6.1,72,33.931855
5.4,65,33.967754
4.8,59,34.009837
5.5,66,34.050088
4.6,57,34.091099
1.6,27,34.107167
3.9,50,34.135088
4.5,56,34.164884
4.3,54,34.195046
4.8,59,34.227301
5.6,67,34.268029
5.5,66,34.304191
6.6,77,34.346075
4.4,55,34.376718
5.4,65,34.413761
4.1,52,34.441727
3.7,48,34.467398
4.8,59,34.501286
5.3,64,34.540446
6.5,76,34.584009
4.1,52,34.612295
5.6,67,34.648909
4.4,55,34.682791
4.6,57,34.715276
4.8,59,34.746116
4.5,56,34.778003
6.6,77,34.821634
5.6,67,34.856983
4.7,58,34.888069
3.7,48,34.914639
5.5,66,34.952673
4.1,52,34.98356
5.6,67,35.062542
5.3,64,35.106247
8.7,98,35.16518
5.4,65,35.201686
4.8,59,35.238901
8.1,92,35.292428
5.0,61,35.32807
5.1,62,35.361068
5.6,67,35.402491
5.0,61,35.435861
6.0,71,35.477624
4.9,60,35.509372
5.4,65,35.546458
4.3,54,35.576713
5.0,61,35.611227
5.5,66,35.650284
3.6,47,35.677272
6.0,71,35.716515
5.2,63,35.755603
6.3,74,35.795995
4.2,53,35.826693
7.6,87,35.875547
7.4,85,35.935254
5.7,68,35.97355
6.2,73,36.017479
8.3,94,36.068587
7.3,84,36.128043
4.6,57,36.162143
6.8,79,36.208922
4.4,55,36.238746
3.8,49,36.279766
4.9,60,36.346322
6.6,77,36.390779
5.0,61,36.42767
5.3,64,36.490061
4.6,57,36.529701
7.5,86,36.579362
5.3,64,36.619079
1.6,27,36.635566
8.9,100,36.695353
6.9,80,36.760506
9.7,108,36.824437
4.2,53,36.860899
4.9,60,36.895372
3.9,50,36.934846
5.8,69,36.988884
4.8,59,37.023001
6.6,77,37.090814
4.1,52,37.148388
6.8,79,37.205078
6.8,79,37.251815
5.2,63,37.288805
8.4,95,37.376005
7.7,88,37.427428
4.0,51,37.46086
8.4,95,37.517306
8.1,92,37.571021
9.2,103,37.629461
4.4,55,37.665213
4.0,51,37.703857
8.4,95,37.76099
9.7,108,37.822515
10.3,114,37.889112
5.0,61,37.924759
4.4,55,37.954749
4.4,55,37.988773
4.7,58,38.023227
4.3,54,38.052349
5.7,68,38.093725
12.3,134,38.176774
4.7,58,38.210604
7.3,84,38.26474
6.9,80,38.329866
12.2,133,38.418281
4.3,54,38.450158
5.8,69,38.492497
4.9,60,38.525491
5.6,67,38.563343
12.3,134,38.641979
7.6,87,38.696922
5.5,66,38.737477
5.4,65,38.775929
11.7,128,38.853091
8.7,98,38.933825
1.6,27,38.958699
7.5,86,39.024669
10.0,111,39.092649
11.9,130,39.208215
9.4,105,39.286808
7.6,87,39.33643
1.6,27,39.355258
10.0,111,39.420018
11.4,125,39.498689
10.8,119,39.56738
1.6,27,39.593019
7.2,83,39.640631
12.3,134,39.722493
12.3,134,39.805096
1.6,27,39.830353
8.8,99,39.887033
7.4,85,39.937265
6.7,78,39.988303
5.1,62,40.024794
10.1,112,40.097809
1.6,27,40.11264
11.3,124,40.188595
10.0,111,40.262034
11.2,123,40.336756
12.3,134,40.416013
5.8,69,40.456146
5.7,68,40.50003
4.8,59,40.53271
1.6,27,40.548871
12.3,134,40.625384
12.6,137,40.714376
12.3,134,40.793441
12.3,134,40.877939
13.4,145,40.962451
12.3,134,41.048549
7.3,84,41.103627
9.5,106,41.166113
12.2,133,41.28629
6.4,75,41.384026
12.3,134,41.464144
1.6,27,41.47943
12.3,134,41.565474
7.8,89,41.622683
18.8,184,41.791105
12.1,132,41.929412
4.7,58,41.96641
12.3,134,42.075443
4.1,52,42.110092
11.8,129,42.190285
5.7,68,42.229135
5.1,62,42.289976
15.8,154,42.395984
7.3,84,42.444436
12.3,134,42.552931
6.8,79,42.604546
6.8,79,42.648749
11.0,121,42.727885
12.3,134,42.810611
12.3,134,42.89197
6.6,77,42.941561
5.7,68,42.983968
7.7,88,43.034385
7.0,81,43.084829
11.1,122,43.160401
1.6,27,43.176424
1.6,27,43.193254
12.3,134,43.28676
10.9,120,43.365471
5.1,62,43.454599
12.3,134,43.54754
4.2,53,43.579788
1.6,27,43.597774
12.3,134,43.679872
8.9,100,43.742646
1.6,27,43.763171
1.6,27,43.779347
12.3,134,43.860967
8.9,100,43.921367
12.5,136,44.021429
1.6,27,44.050574
4.8,59,44.105222
4.6,57,44.143908
12.3,134,44.228902
10.3,114,44.305948
8.6,97,44.363703
12.3,134,44.445133
9.8,109,44.514946
1.6,27,44.541489
12.3,134,44.627927
7.1,82,44.67863
1.6,27,44.697478
3.9,50,44.7314
1.6,27,44.747985
7.4,85,44.801486
1.6,27,44.820435
16.4,160,44.915048
7.0,81,44.963691
1.6,27,44.980366
1.6,27,44.999077
1.6,27,45.015744
11.2,123,45.095958
10.5,116,45.165869
11.2,123,45.244784
6.3,74,45.29071
4.5,56,45.329856
4.7,58,45.365138
12.3,134,45.446191
4.8,59,45.482678
1.6,27,45.527603
1.6,27,45.554118
1.6,27,45.599032
6.3,74,45.643394
10.4,115,45.710448
1.6,27,45.729548
1.6,27,45.747534
10.0,111,45.81829
6.2,73,45.860895
9.4,105,45.926827
10.7,118,45.999676
5.3,64,46.040028
1.6,27,46.055005
1.6,27,46.074128
1.6,27,46.095741
1.6,27,46.112307
1.6,27,46.127868
6.7,78,46.175427
10.4,115,46.245051
4.6,57,46.280185
1.6,27,46.314384
1.6,27,46.351837
12.3,134,46.43806
4.3,54,46.469485
1.6,27,46.487214
12.3,134,46.569977
3.6,47,46.598473
4.6,57,46.633907
5.6,67,46.675096
9.6,107,46.741302
5.6,67,46.783333
1.6,27,46.799994
12.3,134,46.886163
1.6,27,46.902341
3.9,50,46.934012
5.8,69,46.979316
4.6,57,47.01266
4.1,52,47.043524
1.6,27,47.062015
11.9,130,47.142241
1.6,27,47.158781
1.6,27,47.176175
1.6,27,47.194478
6.9,80,47.250242
8.4,95,47.307098
1.6,27,47.325029
6.3,74,47.405507
1.6,27,47.42726
1.6,27,47.444157
6.2,73,47.490669
1.6,27,47.508773
1.6,27,47.525609
11.7,128,47.676396
1.6,27,47.693527
6.6,77,47.757556
